"intersection_id","tollgate_id","time_window","avg_travel_time"
"B","3","[2016-10-18 00:00:00,2016-10-18 00:20:00)","64.69"
"B","3","[2016-10-18 00:40:00,2016-10-18 01:00:00)","75.37"
"B","3","[2016-10-18 01:40:00,2016-10-18 02:00:00)","70.14"
"B","3","[2016-10-18 02:00:00,2016-10-18 02:20:00)","96.03"
"B","3","[2016-10-18 03:40:00,2016-10-18 04:00:00)","76.88"
"B","3","[2016-10-18 06:00:00,2016-10-18 06:20:00)","54.75"
"B","3","[2016-10-18 06:20:00,2016-10-18 06:40:00)","121.02"
"B","3","[2016-10-18 06:40:00,2016-10-18 07:00:00)","94.04"
"B","3","[2016-10-18 07:00:00,2016-10-18 07:20:00)","120.6"
"B","3","[2016-10-18 07:20:00,2016-10-18 07:40:00)","73.4"
"B","3","[2016-10-18 07:40:00,2016-10-18 08:00:00)","89.91"
"B","3","[2016-10-18 08:00:00,2016-10-18 08:20:00)","126.4"
"B","3","[2016-10-18 08:20:00,2016-10-18 08:40:00)","115.52"
"B","3","[2016-10-18 08:40:00,2016-10-18 09:00:00)","98.86"
"B","3","[2016-10-18 09:00:00,2016-10-18 09:20:00)","131.15"
"B","3","[2016-10-18 09:20:00,2016-10-18 09:40:00)","151.95"
"B","3","[2016-10-18 09:40:00,2016-10-18 10:00:00)","117.69"
"B","3","[2016-10-18 10:00:00,2016-10-18 10:20:00)","85.85"
"B","3","[2016-10-18 10:20:00,2016-10-18 10:40:00)","111.97"
"B","3","[2016-10-18 10:40:00,2016-10-18 11:00:00)","120.19"
"B","3","[2016-10-18 11:00:00,2016-10-18 11:20:00)","124.38"
"B","3","[2016-10-18 11:20:00,2016-10-18 11:40:00)","91.1"
"B","3","[2016-10-18 11:40:00,2016-10-18 12:00:00)","100.28"
"B","3","[2016-10-18 12:00:00,2016-10-18 12:20:00)","79.9"
"B","3","[2016-10-18 12:20:00,2016-10-18 12:40:00)","90.97"
"B","3","[2016-10-18 12:40:00,2016-10-18 13:00:00)","103.24"
