"intersection_id","tollgate_id","time_window","avg_travel_time"
"B","3","[2016-07-19 00:00:00,2016-07-19 00:20:00)","70.85"
"B","3","[2016-07-19 00:20:00,2016-07-19 00:40:00)","148.79"
"B","3","[2016-07-19 01:40:00,2016-07-19 02:00:00)","93.72"
"B","3","[2016-07-19 02:00:00,2016-07-19 02:20:00)","67.81"
"B","3","[2016-07-19 02:40:00,2016-07-19 03:00:00)","167.55"
"B","3","[2016-07-19 03:40:00,2016-07-19 04:00:00)","98.49"
"B","3","[2016-07-19 04:00:00,2016-07-19 04:20:00)","96.67"
"B","3","[2016-07-19 04:20:00,2016-07-19 04:40:00)","53.15"
"B","3","[2016-07-19 04:40:00,2016-07-19 05:00:00)","55.25"
"B","3","[2016-07-19 05:00:00,2016-07-19 05:20:00)","209.66"
"B","3","[2016-07-19 06:00:00,2016-07-19 06:20:00)","145.94"
"B","3","[2016-07-19 06:20:00,2016-07-19 06:40:00)","127.35"
"B","3","[2016-07-19 06:40:00,2016-07-19 07:00:00)","97.2"
"B","3","[2016-07-19 07:00:00,2016-07-19 07:20:00)","118.43"
"B","3","[2016-07-19 07:20:00,2016-07-19 07:40:00)","82.63"
"B","3","[2016-07-19 07:40:00,2016-07-19 08:00:00)","110.5"
"B","3","[2016-07-19 08:00:00,2016-07-19 08:20:00)","125.76"
"B","3","[2016-07-19 08:20:00,2016-07-19 08:40:00)","141.33"
"B","3","[2016-07-19 08:40:00,2016-07-19 09:00:00)","176.08"
"B","3","[2016-07-19 09:00:00,2016-07-19 09:20:00)","165.29"
"B","3","[2016-07-19 09:20:00,2016-07-19 09:40:00)","127.38"
"B","3","[2016-07-19 09:40:00,2016-07-19 10:00:00)","117.83"
"B","3","[2016-07-19 10:00:00,2016-07-19 10:20:00)","98.92"
"B","3","[2016-07-19 10:20:00,2016-07-19 10:40:00)","113.0"
"B","3","[2016-07-19 10:40:00,2016-07-19 11:00:00)","98.15"
"B","3","[2016-07-19 11:00:00,2016-07-19 11:20:00)","95.98"
"B","3","[2016-07-19 11:20:00,2016-07-19 11:40:00)","84.36"
"B","3","[2016-07-19 11:40:00,2016-07-19 12:00:00)","96.54"
"B","3","[2016-07-19 12:00:00,2016-07-19 12:20:00)","144.87"
"B","3","[2016-07-19 12:20:00,2016-07-19 12:40:00)","136.36"
"B","3","[2016-07-19 12:40:00,2016-07-19 13:00:00)","129.5"
"B","3","[2016-07-19 13:00:00,2016-07-19 13:20:00)","116.47"
"B","3","[2016-07-19 13:20:00,2016-07-19 13:40:00)","119.37"
"B","3","[2016-07-19 13:40:00,2016-07-19 14:00:00)","176.65"
"B","3","[2016-07-19 14:00:00,2016-07-19 14:20:00)","159.46"
"B","3","[2016-07-19 14:20:00,2016-07-19 14:40:00)","129.48"
"B","3","[2016-07-19 14:40:00,2016-07-19 15:00:00)","120.24"
"B","3","[2016-07-19 15:00:00,2016-07-19 15:20:00)","115.29"
"B","3","[2016-07-19 15:20:00,2016-07-19 15:40:00)","129.47"
"B","3","[2016-07-19 15:40:00,2016-07-19 16:00:00)","120.76"
"B","3","[2016-07-19 16:00:00,2016-07-19 16:20:00)","116.07"
"B","3","[2016-07-19 16:20:00,2016-07-19 16:40:00)","152.5"
"B","3","[2016-07-19 16:40:00,2016-07-19 17:00:00)","101.66"
"B","3","[2016-07-19 17:00:00,2016-07-19 17:20:00)","139.36"
"B","3","[2016-07-19 17:20:00,2016-07-19 17:40:00)","103.67"
"B","3","[2016-07-19 17:40:00,2016-07-19 18:00:00)","109.3"
"B","3","[2016-07-19 18:00:00,2016-07-19 18:20:00)","108.3"
"B","3","[2016-07-19 18:20:00,2016-07-19 18:40:00)","91.94"
"B","3","[2016-07-19 18:40:00,2016-07-19 19:00:00)","106.92"
"B","3","[2016-07-19 19:20:00,2016-07-19 19:40:00)","115.99"
"B","3","[2016-07-19 19:40:00,2016-07-19 20:00:00)","209.49"
"B","3","[2016-07-19 20:00:00,2016-07-19 20:20:00)","112.25"
"B","3","[2016-07-19 20:40:00,2016-07-19 21:00:00)","96.82"
"B","3","[2016-07-19 21:20:00,2016-07-19 21:40:00)","133.02"
"B","3","[2016-07-19 21:40:00,2016-07-19 22:00:00)","96.96"
"B","3","[2016-07-19 22:00:00,2016-07-19 22:20:00)","149.31"
"B","3","[2016-07-19 22:20:00,2016-07-19 22:40:00)","100.55"
"B","3","[2016-07-19 23:00:00,2016-07-19 23:20:00)","97.07"
"B","3","[2016-07-19 23:40:00,2016-07-20 00:00:00)","121.11"
"B","3","[2016-07-20 01:00:00,2016-07-20 01:20:00)","93.17"
"B","3","[2016-07-20 01:40:00,2016-07-20 02:00:00)","33.25"
"B","3","[2016-07-20 02:20:00,2016-07-20 02:40:00)","127.48"
"B","3","[2016-07-20 02:40:00,2016-07-20 03:00:00)","157.13"
"B","3","[2016-07-20 03:00:00,2016-07-20 03:20:00)","125.75"
"B","3","[2016-07-20 03:20:00,2016-07-20 03:40:00)","104.71"
"B","3","[2016-07-20 03:40:00,2016-07-20 04:00:00)","148.14"
"B","3","[2016-07-20 04:00:00,2016-07-20 04:20:00)","113.72"
"B","3","[2016-07-20 04:20:00,2016-07-20 04:40:00)","129.63"
"B","3","[2016-07-20 04:40:00,2016-07-20 05:00:00)","59.88"
"B","3","[2016-07-20 06:00:00,2016-07-20 06:20:00)","112.36"
"B","3","[2016-07-20 06:20:00,2016-07-20 06:40:00)","386.44"
