"tollgate_id","time_window","direction","volume"
"1","[2016-09-19 00:00:00,2016-09-19 00:20:00)","1","140"
"1","[2016-09-19 00:00:00,2016-09-19 00:20:00)","0","13"
"3","[2016-09-19 00:00:00,2016-09-19 00:20:00)","1","181"
"3","[2016-09-19 00:00:00,2016-09-19 00:20:00)","0","17"
"2","[2016-09-19 00:00:00,2016-09-19 00:20:00)","0","2"
"1","[2016-09-19 00:20:00,2016-09-19 00:40:00)","1","56"
"1","[2016-09-19 00:20:00,2016-09-19 00:40:00)","0","6"
"3","[2016-09-19 00:20:00,2016-09-19 00:40:00)","1","112"
"3","[2016-09-19 00:20:00,2016-09-19 00:40:00)","0","16"
"1","[2016-09-19 00:40:00,2016-09-19 01:00:00)","1","31"
"1","[2016-09-19 00:40:00,2016-09-19 01:00:00)","0","9"
"3","[2016-09-19 00:40:00,2016-09-19 01:00:00)","1","93"
"3","[2016-09-19 00:40:00,2016-09-19 01:00:00)","0","16"
"1","[2016-09-19 01:00:00,2016-09-19 01:20:00)","1","4"
"1","[2016-09-19 01:00:00,2016-09-19 01:20:00)","0","10"
"3","[2016-09-19 01:00:00,2016-09-19 01:20:00)","1","4"
"3","[2016-09-19 01:00:00,2016-09-19 01:20:00)","0","17"
"2","[2016-09-19 01:00:00,2016-09-19 01:20:00)","0","1"
"1","[2016-09-19 01:20:00,2016-09-19 01:40:00)","1","14"
"1","[2016-09-19 01:20:00,2016-09-19 01:40:00)","0","14"
"3","[2016-09-19 01:20:00,2016-09-19 01:40:00)","1","5"
"3","[2016-09-19 01:20:00,2016-09-19 01:40:00)","0","17"
"1","[2016-09-19 01:40:00,2016-09-19 02:00:00)","1","7"
"1","[2016-09-19 01:40:00,2016-09-19 02:00:00)","0","10"
"3","[2016-09-19 01:40:00,2016-09-19 02:00:00)","1","4"
"3","[2016-09-19 01:40:00,2016-09-19 02:00:00)","0","11"
"2","[2016-09-19 01:40:00,2016-09-19 02:00:00)","0","2"
"1","[2016-09-19 02:00:00,2016-09-19 02:20:00)","1","7"
"1","[2016-09-19 02:00:00,2016-09-19 02:20:00)","0","7"
"3","[2016-09-19 02:00:00,2016-09-19 02:20:00)","1","5"
"3","[2016-09-19 02:00:00,2016-09-19 02:20:00)","0","11"
"1","[2016-09-19 02:20:00,2016-09-19 02:40:00)","1","7"
"1","[2016-09-19 02:20:00,2016-09-19 02:40:00)","0","10"
"3","[2016-09-19 02:20:00,2016-09-19 02:40:00)","1","4"
"3","[2016-09-19 02:20:00,2016-09-19 02:40:00)","0","14"
